9,1.9753767,0.31286893,2,0.15707963
8,1.9753767,0.31286893,2,0.15707963
7,1.9753767,0.31286893,2,0.15707963
6,1.9753767,0.31286893,2,0.15707963
5,1.9753767,0.31286893,2,0.15707963
4,1.9753767,0.31286893,2,0.15707963
3,1.9753767,0.31286893,2,0.15707963
2.5,1.9753767,0.31286893,2,0.15707963
8,3.9507534,0.62573786,4,0.15707963
7,3.9507534,0.62573786,4,0.15707963
6,3.9507534,0.62573786,4,0.15707963
5,3.9507534,0.62573786,4,0.15707963
4,3.9507534,0.62573786,4,0.15707963
3,3.9507534,0.62573786,4,0.15707963
7,5.92613,0.93860679,6,0.15707963
6,5.92613,0.93860679,6,0.15707963
5,5.92613,0.93860679,6,0.15707963
4,5.92613,0.93860679,6,0.15707963
3,5.92613,0.93860679,6,0.15707963
7,7.9015067,1.2514757,8,0.15707963
6,7.9015067,1.2514757,8,0.15707963
5,7.9015067,1.2514757,8,0.15707963
4,7.9015067,1.2514757,8,0.15707963
7,9.8768834,1.5643447,10,0.15707963
6,9.8768834,1.5643447,10,0.15707963
5,9.8768834,1.5643447,10,0.15707963
4,9.8768834,1.5643447,10,0.15707963
6,11.85226,1.8772136,12,0.15707963
5,11.85226,1.8772136,12,0.15707963
4,11.85226,1.8772136,12,0.15707963
9,0.95105652,0.30901699,1,0.31415927
8,0.95105652,0.30901699,1,0.31415927
7,0.95105652,0.30901699,1,0.31415927
6,0.95105652,0.30901699,1,0.31415927
5,0.95105652,0.30901699,1,0.31415927
4,0.95105652,0.30901699,1,0.31415927
3,0.95105652,0.30901699,1,0.31415927
2.5,0.95105652,0.30901699,1,0.31415927
9,1.902113,0.61803399,2,0.31415927
8,1.902113,0.61803399,2,0.31415927
7,1.902113,0.61803399,2,0.31415927
6,1.902113,0.61803399,2,0.31415927
5,1.902113,0.61803399,2,0.31415927
4,1.902113,0.61803399,2,0.31415927
3,1.902113,0.61803399,2,0.31415927
2.5,1.902113,0.61803399,2,0.31415927
8,3.8042261,1.236068,4,0.31415927
7,3.8042261,1.236068,4,0.31415927
6,3.8042261,1.236068,4,0.31415927
5,3.8042261,1.236068,4,0.31415927
4,3.8042261,1.236068,4,0.31415927
3,3.8042261,1.236068,4,0.31415927
7,5.7063391,1.854102,6,0.31415927
6,5.7063391,1.854102,6,0.31415927
5,5.7063391,1.854102,6,0.31415927
4,5.7063391,1.854102,6,0.31415927
3,5.7063391,1.854102,6,0.31415927
7,7.6084521,2.472136,8,0.31415927
6,7.6084521,2.472136,8,0.31415927
