,H,V,C,h,a,b
718,7.5BG,7.0,8.0,351.0,7.90151,-1.25148
719,7.5BG,6.0,8.0,351.0,7.90151,-1.25148
720,7.5BG,5.0,8.0,351.0,7.90151,-1.25148
721,7.5BG,4.0,8.0,351.0,7.90151,-1.25148
722,10BG,9.0,1.0,0.0,1.0,0.0
723,10BG,8.0,1.0,0.0,1.0,0.0
724,10BG,7.0,1.0,0.0,1.0,0.0
725,10BG,6.0,1.0,0.0,1.0,0.0
726,10BG,5.0,1.0,0.0,1.0,0.0
727,10BG,4.0,1.0,0.0,1.0,0.0
728,10BG,3.0,1.0,0.0,1.0,0.0
729,10BG,2.5,1.0,0.0,1.0,0.0
730,10BG,9.0,2.0,0.0,2.0,0.0
731,10BG,8.0,2.0,0.0,2.0,0.0
732,10BG,7.0,2.0,0.0,2.0,0.0
733,10BG,6.0,2.0,0.0,2.0,0.0
734,10BG,5.0,2.0,0.0,2.0,0.0
735,10BG,4.0,2.0,0.0,2.0,0.0
736,10BG,3.0,2.0,0.0,2.0,0.0
737,10BG,2.5,2.0,0.0,2.0,0.0
738,10BG,8.0,4.0,0.0,4.0,0.0
739,10BG,7.0,4.0,0.0,4.0,0.0
740,10BG,6.0,4.0,0.0,4.0,0.0
741,10BG,5.0,4.0,0.0,4.0,0.0
742,10BG,4.0,4.0,0.0,4.0,0.0
743,10BG,3.0,4.0,0.0,4.0,0.0
744,10BG,7.0,6.0,0.0,6.0,0.0
745,10BG,6.0,6.0,0.0,6.0,0.0
746,10BG,5.0,6.0,0.0,6.0,0.0
747,10BG,4.0,6.0,0.0,6.0,0.0
748,10BG,7.0,8.0,0.0,8.0,0.0
749,10BG,6.0,8.0,0.0,8.0,0.0
750,10BG,5.0,8.0,0.0,8.0,0.0
751,10BG,4.0,8.0,0.0,8.0,0.0
752,2.5B,9.0,2.0,297.0,0.90798,-1.78201
753,2.5B,8.0,2.0,297.0,0.90798,-1.78201
754,2.5B,7.0,2.0,297.0,0.90798,-1.78201
755,2.5B,6.0,2.0,297.0,0.90798,-1.78201
756,2.5B,5.0,2.0,297.0,0.90798,-1.78201
757,2.5B,4.0,2.0,297.0,0.90798,-1.78201
758,2.5B,3.0,2.0,297.0,0.90798,-1.78201
759,2.5B,2.5,2.0,297.0,0.90798,-1.78201
760,2.5B,8.0,4.0,297.0,1.81596,-3.56403
761,2.5B,7.0,4.0,297.0,1.81596,-3.56403
762,2.5B,6.0,4.0,297.0,1.81596,-3.56403
763,2.5B,5.0,4.0,297.0,1.81596,-3.56403
764,2.5B,4.0,4.0,297.0,1.81596,-3.56403
765,2.5B,3.0,4.0,297.0,1.81596,-3.56403
766,2.5B,7.0,6.0,297.0,2.72394,-5.34604
767,2.5B,6.0,6.0,297.0,2.72394,-5.34604
768,2.5B,5.0,6.0,297.0,2.72394,-5.34604
769,2.5B,4.0,6.0,297.0,2.72394,-5.34604
770,2.5B,7.0,8.0,297.0,3.63192,-7.12805
771,2.5B,6.0,8.0,297.0,3.63192,-7.12805
772,2.5B,5.0,8.0,297.0,3.63192,-7.12805
773,2.5B,4.0,8.0,297.0,3.63192,-7.12805
774,5B,9.0,1.0,306.0,0.58779,-0.80902
775,5B,8.0,1.0,306.0,0.58779,-0.80902
776,5B,7.0,1.0,306.0,0.58779,-0.80902
777,5B,6.0,1.0,306.0,0.58779,-0.80902
778,5B,5.0,1.0,306.0,0.58779,-0.80902
779,5B,4.0,1.0,306.0,0.58779,-0.80902
780,5B,3.0,1.0,306.0,0.58779,-0.80902
781,5B,2.5,1.0,306.0,0.58779,-0.80902
782,5B,9.0,2.0,306.0,1.17557,-1.61803
783,5B,8.0,2.0,306.0,1.17557,-1.61803
784,5B,7.0,2.0,306.0,1.17557,-1.61803
785,5B,6.0,2.0,306.0,1.17557,-1.61803
786,5B,5.0,2.0,306.0,1.17557,-1.61803
787,5B,4.0,2.0,306.0,1.17557,-1.61803
788,5B,3.0,2.0,306.0,1.17557,-1.61803
789,5B,2.5,2.0,306.0,1.17557,-1.61803
790,5B,8.0,4.0,306.0,2.35114,-3.23607
791,5B,7.0,4.0,306.0,2.35114,-3.23607
792,5B,6.0,4.0,306.0,2.35114,-3.23607
793,5B,5.0,4.0,306.0,2.35114,-3.23607
794,5B,4.0,4.0,306.0,2.35114,-3.23607
795,5B,3.0,4.0,306.0,2.35114,-3.23607
796,5B,7.0,6.0,306.0,3.52671,-4.8541
797,5B,6.0,6.0,306.0,3.52671,-4.8541
798,5B,5.0,6.0,306.0,3.52671,-4.8541
799,5B,4.0,6.0,306.0,3.52671,-4.8541
800,5B,3.0,6.0,306.0,3.52671,-4.8541
801,5B,7.0,8.0,306.0,4.70228,-6.47214
802,5B,6.0,8.0,306.0,4.70228,-6.47214
803,5B,5.0,8.0,306.0,4.70228,-6.47214
804,5B,4.0,8.0,306.0,4.70228,-6.47214
805,7.5B,9.0,2.0,315.0,1.41421,-1.41421
806,7.5B,8.0,2.0,315.0,1.41421,-1.41421
807,7.5B,7.0,2.0,315.0,1.41421,-1.41421
808,7.5B,6.0,2.0,315.0,1.41421,-1.41421
809,7.5B,5.0,2.0,315.0,1.41421,-1.41421
810,7.5B,4.0,2.0,315.0,1.41421,-1.41421
811,7.5B,3.0,2.0,315.0,1.41421,-1.41421
812,7.5B,2.5,2.0,315.0,1.41421,-1.41421
813,7.5B,8.0,4.0,315.0,2.82843,-2.82843
814,7.5B,7.0,4.0,315.0,2.82843,-2.82843
815,7.5B,6.0,4.0,315.0,2.82843,-2.82843
816,7.5B,5.0,4.0,315.0,2.82843,-2.82843
817,7.5B,4.0,4.0,315.0,2.82843,-2.82843
818,7.5B,3.0,4.0,315.0,2.82843,-2.82843
819,7.5B,7.0,6.0,315.0,4.24264,-4.24264
820,7.5B,6.0,6.0,315.0,4.24264,-4.24264
821,7.5B,5.0,6.0,315.0,4.24264,-4.24264
822,7.5B,4.0,6.0,315.0,4.24264,-4.24264
823,7.5B,3.0,6.0,315.0,4.24264,-4.24264
824,7.5B,7.0,8.0,315.0,5.65685,-5.65685
825,7.5B,6.0,8.0,315.0,5.65685,-5.65685
826,7.5B,5.0,8.0,315.0,5.65685,-5.65685
827,7.5B,4.0,8.0,315.0,5.65685,-5.65685
828,7.5B,6.0,10.0,315.0,7.07107,-7.07107
829,7.5B,5.0,10.0,315.0,7.07107,-7.07107
830,10B,9.0,1.0,324.0,0.80902,-0.58779
831,10B,8.0,1.0,324.0,0.80902,-0.58779
832,10B,7.0,1.0,324.0,0.80902,-0.58779
833,10B,6.0,1.0,324.0,0.80902,-0.58779
834,10B,5.0,1.0,324.0,0.80902,-0.58779
835,10B,4.0,1.0,324.0,0.80902,-0.58779
836,10B,3.0,1.0,324.0,0.80902,-0.58779
837,10B,2.5,1.0,324.0,0.80902,-0.58779
838,10B,9.0,2.0,324.0,1.61803,-1.17557
839,10B,8.0,2.0,324.0,1.61803,-1.17557
840,10B,7.0,2.0,324.0,1.61803,-1.17557
841,10B,6.0,2.0,324.0,1.61803,-1.17557
842,10B,5.0,2.0,324.0,1.61803,-1.17557
843,10B,4.0,2.0,324.0,1.61803,-1.17557
844,10B,3.0,2.0,324.0,1.61803,-1.17557
845,10B,2.5,2.0,324.0,1.61803,-1.17557
846,10B,8.0,4.0,324.0,3.23607,-2.35114
847,10B,7.0,4.0,324.0,3.23607,-2.35114
848,10B,6.0,4.0,324.0,3.23607,-2.35114
849,10B,5.0,4.0,324.0,3.23607,-2.35114
850,10B,4.0,4.0,324.0,3.23607,-2.35114
851,10B,3.0,4.0,324.0,3.23607,-2.35114
852,10B,2.5,4.0,324.0,3.23607,-2.35114
853,10B,7.0,6.0,324.0,4.8541,-3.52671
854,10B,6.0,6.0,324.0,4.8541,-3.52671
855,10B,5.0,6.0,324.0,4.8541,-3.52671
856,10B,4.0,6.0,324.0,4.8541,-3.52671
857,10B,3.0,6.0,324.0,4.8541,-3.52671
858,10B,7.0,8.0,324.0,6.47214,-4.70228
859,10B,6.0,8.0,324.0,6.47214,-4.70228
860,10B,5.0,8.0,324.0,6.47214,-4.70228
861,10B,4.0,8.0,324.0,6.47214,-4.70228
862,10B,6.0,10.0,324.0,8.09017,-5.87785
863,10B,5.0,10.0,324.0,8.09017,-5.87785
864,2.5PB,9.0,2.0,261.0,-0.31287,-1.97538
865,2.5PB,8.0,2.0,261.0,-0.31287,-1.97538
866,2.5PB,7.0,2.0,261.0,-0.31287,-1.97538
867,2.5PB,6.0,2.0,261.0,-0.31287,-1.97538
868,2.5PB,5.0,2.0,261.0,-0.31287,-1.97538
869,2.5PB,4.0,2.0,261.0,-0.31287,-1.97538
870,2.5PB,3.0,2.0,261.0,-0.31287,-1.97538
871,2.5PB,2.5,2.0,261.0,-0.31287,-1.97538
872,2.5PB,8.0,4.0,261.0,-0.62574,-3.95075
873,2.5PB,7.0,4.0,261.0,-0.62574,-3.95075
874,2.5PB,6.0,4.0,261.0,-0.62574,-3.95075
875,2.5PB,5.0,4.0,261.0,-0.62574,-3.95075
876,2.5PB,4.0,4.0,261.0,-0.62574,-3.95075
877,2.5PB,3.0,4.0,261.0,-0.62574,-3.95075
878,2.5PB,2.5,4.0,261.0,-0.62574,-3.95075
879,2.5PB,8.0,6.0,261.0,-0.93861,-5.92613
880,2.5PB,7.0,6.0,261.0,-0.93861,-5.92613
881,2.5PB,6.0,6.0,261.0,-0.93861,-5.92613
882,2.5PB,5.0,6.0,261.0,-0.93861,-5.92613
883,2.5PB,4.0,6.0,261.0,-0.93861,-5.92613
884,2.5PB,3.0,6.0,261.0,-0.93861,-5.92613
885,2.5PB,7.0,8.0,261.0,-1.25148,-7.90151
886,2.5PB,6.0,8.0,261.0,-1.25148,-7.90151
887,2.5PB,5.0,8.0,261.0,-1.25148,-7.90151
888,2.5PB,4.0,8.0,261.0,-1.25148,-7.90151
889,2.5PB,6.0,10.0,261.0,-1.56434,-9.87688
890,2.5PB,5.0,10.0,261.0,-1.56434,-9.87688
891,2.5PB,4.0,10.0,261.0,-1.56434,-9.87688
892,5PB,9.0,1.0,270.0,-0.0,-1.0
893,5PB,8.0,1.0,270.0,-0.0,-1.0
894,5PB,7.0,1.0,270.0,-0.0,-1.0
895,5PB,6.0,1.0,270.0,-0.0,-1.0
896,5PB,5.0,1.0,270.0,-0.0,-1.0
897,5PB,4.0,1.0,270.0,-0.0,-1.0
898,5PB,3.0,1.0,270.0,-0.0,-1.0
899,5PB,2.5,1.0,270.0,-0.0,-1.0
900,5PB,9.0,2.0,270.0,-0.0,-2.0
901,5PB,8.0,2.0,270.0,-0.0,-2.0
902,5PB,7.0,2.0,270.0,-0.0,-2.0
903,5PB,6.0,2.0,270.0,-0.0,-2.0
904,5PB,5.0,2.0,270.0,-0.0,-2.0
905,5PB,4.0,2.0,270.0,-0.0,-2.0
906,5PB,3.0,2.0,270.0,-0.0,-2.0
907,5PB,2.5,2.0,270.0,-0.0,-2.0
908,5PB,8.0,4.0,270.0,-0.0,-4.0
909,5PB,7.0,4.0,270.0,-0.0,-4.0
910,5PB,6.0,4.0,270.0,-0.0,-4.0
911,5PB,5.0,4.0,270.0,-0.0,-4.0
912,5PB,4.0,4.0,270.0,-0.0,-4.0
913,5PB,3.0,4.0,270.0,-0.0,-4.0
914,5PB,2.5,4.0,270.0,-0.0,-4.0
915,5PB,8.0,6.0,270.0,-0.0,-6.0
916,5PB,7.0,6.0,270.0,-0.0,-6.0
917,5PB,6.0,6.0,270.0,-0.0,-6.0
918,5PB,5.0,6.0,270.0,-0.0,-6.0
919,5PB,4.0,6.0,270.0,-0.0,-6.0
920,5PB,3.0,6.0,270.0,-0.0,-6.0
921,5PB,7.0,8.0,270.0,-0.0,-8.0
922,5PB,6.0,8.0,270.0,-0.0,-8.0
923,5PB,5.0,8.0,270.0,-0.0,-8.0
924,5PB,4.0,8.0,270.0,-0.0,-8.0
925,5PB,3.0,8.0,270.0,-0.0,-8.0
926,5PB,6.0,10.0,270.0,-0.0,-10.0
927,5PB,5.0,10.0,270.0,-0.0,-10.0
928,5PB,4.0,10.0,270.0,-0.0,-10.0
929,5PB,5.0,12.0,270.0,-0.0,-12.0
930,5PB,4.0,12.0,270.0,-0.0,-12.0
931,7.5PB,9.0,2.0,279.0,0.31287,-1.97538
932,7.5PB,8.0,2.0,279.0,0.31287,-1.97538
933,7.5PB,7.0,2.0,279.0,0.31287,-1.97538
934,7.5PB,6.0,2.0,279.0,0.31287,-1.97538
935,7.5PB,5.0,2.0,279.0,0.31287,-1.97538
936,7.5PB,4.0,2.0,279.0,0.31287,-1.97538
937,7.5PB,3.0,2.0,279.0,0.31287,-1.97538
938,7.5PB,2.5,2.0,279.0,0.31287,-1.97538
939,7.5PB,8.0,4.0,279.0,0.62574,-3.95075
940,7.5PB,7.0,4.0,279.0,0.62574,-3.95075
941,7.5PB,6.0,4.0,279.0,0.62574,-3.95075
942,7.5PB,5.0,4.0,279.0,0.62574,-3.95075
943,7.5PB,4.0,4.0,279.0,0.62574,-3.95075
944,7.5PB,3.0,4.0,279.0,0.62574,-3.95075
945,7.5PB,2.5,4.0,279.0,0.62574,-3.95075
946,7.5PB,8.0,6.0,279.0,0.93861,-5.92613
947,7.5PB,7.0,6.0,279.0,0.93861,-5.92613
948,7.5PB,6.0,6.0,279.0,0.93861,-5.92613
949,7.5PB,5.0,6.0,279.0,0.93861,-5.92613
950,7.5PB,4.0,6.0,279.0,0.93861,-5.92613
951,7.5PB,3.0,6.0,279.0,0.93861,-5.92613
952,7.5PB,2.5,6.0,279.0,0.93861,-5.92613
953,7.5PB,7.0,8.0,279.0,1.25148,-7.90151
954,7.5PB,6.0,8.0,279.0,1.25148,-7.90151
955,7.5PB,5.0,8.0,279.0,1.25148,-7.90151
956,7.5PB,4.0,8.0,279.0,1.25148,-7.90151
957,7.5PB,3.0,8.0,279.0,1.25148,-7.90151
958,7.5PB,6.0,10.0,279.0,1.56434,-9.87688
959,7.5PB,5.0,10.0,279.0,1.56434,-9.87688
960,7.5PB,4.0,10.0,279.0,1.56434,-9.87688
961,7.5PB,3.0,10.0,279.0,1.56434,-9.87688
962,7.5PB,5.0,12.0,279.0,1.87721,-11.85226
963,7.5PB,4.0,12.0,279.0,1.87721,-11.85226
964,10PB,9.0,1.0,288.0,0.30902,-0.95106
965,10PB,8.0,1.0,288.0,0.30902,-0.95106
966,10PB,7.0,1.0,288.0,0.30902,-0.95106
967,10PB,6.0,1.0,288.0,0.30902,-0.95106
968,10PB,5.0,1.0,288.0,0.30902,-0.95106
969,10PB,4.0,1.0,288.0,0.30902,-0.95106
970,10PB,3.0,1.0,288.0,0.30902,-0.95106
971,10PB,2.5,1.0,288.0,0.30902,-0.95106
972,10PB,9.0,2.0,288.0,0.61803,-1.90211
973,10PB,8.0,2.0,288.0,0.61803,-1.90211
974,10PB,7.0,2.0,288.0,0.61803,-1.90211
975,10PB,6.0,2.0,288.0,0.61803,-1.90211
976,10PB,5.0,2.0,288.0,0.61803,-1.90211
977,10PB,4.0,2.0,288.0,0.61803,-1.90211
978,10PB,3.0,2.0,288.0,0.61803,-1.90211
979,10PB,2.5,2.0,288.0,0.61803,-1.90211
980,10PB,8.0,4.0,288.0,1.23607,-3.80423
981,10PB,7.0,4.0,288.0,1.23607,-3.80423
982,10PB,6.0,4.0,288.0,1.23607,-3.80423
983,10PB,5.0,4.0,288.0,1.23607,-3.80423
984,10PB,4.0,4.0,288.0,1.23607,-3.80423
985,10PB,3.0,4.0,288.0,1.23607,-3.80423
986,10PB,2.5,4.0,288.0,1.23607,-3.80423
987,10PB,7.0,6.0,288.0,1.8541,-5.70634
988,10PB,6.0,6.0,288.0,1.8541,-5.70634
989,10PB,5.0,6.0,288.0,1.8541,-5.70634
990,10PB,4.0,6.0,288.0,1.8541,-5.70634
991,10PB,3.0,6.0,288.0,1.8541,-5.70634
992,10PB,2.5,6.0,288.0,1.8541,-5.70634
993,10PB,7.0,8.0,288.0,2.47214,-7.60845
994,10PB,6.0,8.0,288.0,2.47214,-7.60845
995,10PB,5.0,8.0,288.0,2.47214,-7.60845
996,10PB,4.0,8.0,288.0,2.47214,-7.60845
997,10PB,3.0,8.0,288.0,2.47214,-7.60845
998,10PB,6.0,10.0,288.0,3.09017,-9.51057
999,10PB,5.0,10.0,288.0,3.09017,-9.51057
1000,10PB,4.0,10.0,288.0,3.09017,-9.51057
1001,2.5P,9.0,2.0,225.0,-1.41421,-1.41421
1002,2.5P,8.0,2.0,225.0,-1.41421,-1.41421
1003,2.5P,7.0,2.0,225.0,-1.41421,-1.41421
1004,2.5P,6.0,2.0,225.0,-1.41421,-1.41421
1005,2.5P,5.0,2.0,225.0,-1.41421,-1.41421
1006,2.5P,4.0,2.0,225.0,-1.41421,-1.41421
1007,2.5P,3.0,2.0,225.0,-1.41421,-1.41421
1008,2.5P,2.5,2.0,225.0,-1.41421,-1.41421
1009,2.5P,8.0,4.0,225.0,-2.82843,-2.82843
1010,2.5P,7.0,4.0,225.0,-2.82843,-2.82843
1011,2.5P,6.0,4.0,225.0,-2.82843,-2.82843
1012,2.5P,5.0,4.0,225.0,-2.82843,-2.82843
1013,2.5P,4.0,4.0,225.0,-2.82843,-2.82843
1014,2.5P,3.0,4.0,225.0,-2.82843,-2.82843
1015,2.5P,2.5,4.0,225.0,-2.82843,-2.82843
1016,2.5P,7.0,6.0,225.0,-4.24264,-4.24264
1017,2.5P,6.0,6.0,225.0,-4.24264,-4.24264
1018,2.5P,5.0,6.0,225.0,-4.24264,-4.24264
1019,2.5P,4.0,6.0,225.0,-4.24264,-4.24264
1020,2.5P,3.0,6.0,225.0,-4.24264,-4.24264
1021,2.5P,7.0,8.0,225.0,-5.65685,-5.65685
1022,2.5P,6.0,8.0,225.0,-5.65685,-5.65685
1023,2.5P,5.0,8.0,225.0,-5.65685,-5.65685
1024,2.5P,4.0,8.0,225.0,-5.65685,-5.65685
1025,2.5P,3.0,8.0,225.0,-5.65685,-5.65685
1026,2.5P,6.0,10.0,225.0,-7.07107,-7.07107
1027,2.5P,5.0,10.0,225.0,-7.07107,-7.07107
1028,2.5P,4.0,10.0,225.0,-7.07107,-7.07107
1029,5P,9.0,1.0,234.0,-0.58779,-0.80902
1030,5P,8.0,1.0,234.0,-0.58779,-0.80902
1031,5P,7.0,1.0,234.0,-0.58779,-0.80902
1032,5P,6.0,1.0,234.0,-0.58779,-0.80902
1033,5P,5.0,1.0,234.0,-0.58779,-0.80902
1034,5P,4.0,1.0,234.0,-0.58779,-0.80902
1035,5P,3.0,1.0,234.0,-0.58779,-0.80902
1036,5P,2.5,1.0,234.0,-0.58779,-0.80902
1037,5P,9.0,2.0,234.0,-1.17557,-1.61803
1038,5P,8.0,2.0,234.0,-1.17557,-1.61803
1039,5P,7.0,2.0,234.0,-1.17557,-1.61803
1040,5P,6.0,2.0,234.0,-1.17557,-1.61803
1041,5P,5.0,2.0,234.0,-1.17557,-1.61803
1042,5P,4.0,2.0,234.0,-1.17557,-1.61803
1043,5P,3.0,2.0,234.0,-1.17557,-1.61803
1044,5P,2.5,2.0,234.0,-1.17557,-1.61803
1045,5P,8.0,4.0,234.0,-2.35114,-3.23607
1046,5P,7.0,4.0,234.0,-2.35114,-3.23607
1047,5P,6.0,4.0,234.0,-2.35114,-3.23607
1048,5P,5.0,4.0,234.0,-2.35114,-3.23607
1049,5P,4.0,4.0,234.0,-2.35114,-3.23607
1050,5P,3.0,4.0,234.0,-2.35114,-3.23607
1051,5P,2.5,4.0,234.0,-2.35114,-3.23607
1052,5P,7.0,6.0,234.0,-3.52671,-4.8541
1053,5P,6.0,6.0,234.0,-3.52671,-4.8541
1054,5P,5.0,6.0,234.0,-3.52671,-4.8541
1055,5P,4.0,6.0,234.0,-3.52671,-4.8541
1056,5P,3.0,6.0,234.0,-3.52671,-4.8541
1057,5P,2.5,6.0,234.0,-3.52671,-4.8541
1058,5P,7.0,8.0,234.0,-4.70228,-6.47214
1059,5P,6.0,8.0,234.0,-4.70228,-6.47214
1060,5P,5.0,8.0,234.0,-4.70228,-6.47214
1061,5P,4.0,8.0,234.0,-4.70228,-6.47214
1062,5P,3.0,8.0,234.0,-4.70228,-6.47214
1063,5P,5.0,10.0,234.0,-5.87785,-8.09017
1064,5P,4.0,10.0,234.0,-5.87785,-8.09017
1065,7.5P,9.0,2.0,243.0,-0.90798,-1.78201
1066,7.5P,8.0,2.0,243.0,-0.90798,-1.78201
1067,7.5P,7.0,2.0,243.0,-0.90798,-1.78201
1068,7.5P,6.0,2.0,243.0,-0.90798,-1.78201
1069,7.5P,5.0,2.0,243.0,-0.90798,-1.78201
1070,7.5P,4.0,2.0,243.0,-0.90798,-1.78201
1071,7.5P,3.0,2.0,243.0,-0.90798,-1.78201
1072,7.5P,2.5,2.0,243.0,-0.90798,-1.78201
1073,7.5P,8.0,4.0,243.0,-1.81596,-3.56403
1074,7.5P,7.0,4.0,243.0,-1.81596,-3.56403
1075,7.5P,6.0,4.0,243.0,-1.81596,-3.56403
1076,7.5P,5.0,4.0,243.0,-1.81596,-3.56403
1077,7.5P,4.0,4.0,243.0,-1.81596,-3.56403
1078,7.5P,3.0,4.0,243.0,-1.81596,-3.56403
1079,7.5P,2.5,4.0,243.0,-1.81596,-3.56403
1080,7.5P,8.0,6.0,243.0,-2.72394,-5.34604
1081,7.5P,7.0,6.0,243.0,-2.72394,-5.34604
1082,7.5P,6.0,6.0,243.0,-2.72394,-5.34604
1083,7.5P,5.0,6.0,243.0,-2.72394,-5.34604
1084,7.5P,4.0,6.0,243.0,-2.72394,-5.34604
1085,7.5P,3.0,6.0,243.0,-2.72394,-5.34604
1086,7.5P,7.0,8.0,243.0,-3.63192,-7.12805
1087,7.5P,6.0,8.0,243.0,-3.63192,-7.12805
1088,7.5P,5.0,8.0,243.0,-3.63192,-7.12805
1089,7.5P,4.0,8.0,243.0,-3.63192,-7.12805
1090,7.5P,3.0,8.0,243.0,-3.63192,-7.12805
1091,7.5P,6.0,10.0,243.0,-4.5399,-8.91007
1092,7.5P,5.0,10.0,243.0,-4.5399,-8.91007
1093,7.5P,4.0,10.0,243.0,-4.5399,-8.91007
1094,10P,9.0,1.0,252.0,-0.30902,-0.95106
1095,10P,8.0,1.0,252.0,-0.30902,-0.95106
1096,10P,7.0,1.0,252.0,-0.30902,-0.95106
1097,10P,6.0,1.0,252.0,-0.30902,-0.95106
1098,10P,5.0,1.0,252.0,-0.30902,-0.95106
1099,10P,4.0,1.0,252.0,-0.30902,-0.95106
1100,10P,3.0,1.0,252.0,-0.30902,-0.95106
1101,10P,2.5,1.0,252.0,-0.30902,-0.95106
1102,10P,9.0,2.0,252.0,-0.61803,-1.90211
1103,10P,8.0,2.0,252.0,-0.61803,-1.90211
1104,10P,7.0,2.0,252.0,-0.61803,-1.90211
1105,10P,6.0,2.0,252.0,-0.61803,-1.90211
1106,10P,5.0,2.0,252.0,-0.61803,-1.90211
1107,10P,4.0,2.0,252.0,-0.61803,-1.90211
1108,10P,3.0,2.0,252.0,-0.61803,-1.90211
1109,10P,2.5,2.0,252.0,-0.61803,-1.90211
1110,10P,8.0,4.0,252.0,-1.23607,-3.80423
1111,10P,7.0,4.0,252.0,-1.23607,-3.80423
1112,10P,6.0,4.0,252.0,-1.23607,-3.80423
1113,10P,5.0,4.0,252.0,-1.23607,-3.80423
1114,10P,4.0,4.0,252.0,-1.23607,-3.80423
1115,10P,3.0,4.0,252.0,-1.23607,-3.80423
1116,10P,2.5,4.0,252.0,-1.23607,-3.80423
1117,10P,8.0,6.0,252.0,-1.8541,-5.70634
1118,10P,7.0,6.0,252.0,-1.8541,-5.70634
1119,10P,6.0,6.0,252.0,-1.8541,-5.70634
1120,10P,5.0,6.0,252.0,-1.8541,-5.70634
1121,10P,4.0,6.0,252.0,-1.8541,-5.70634
1122,10P,3.0,6.0,252.0,-1.8541,-5.70634
1123,10P,7.0,8.0,252.0,-2.47214,-7.60845
1124,10P,6.0,8.0,252.0,-2.47214,-7.60845
1125,10P,5.0,8.0,252.0,-2.47214,-7.60845
1126,10P,4.0,8.0,252.0,-2.47214,-7.60845
1127,10P,3.0,8.0,252.0,-2.47214,-7.60845
1128,10P,6.0,10.0,252.0,-3.09017,-9.51057
1129,10P,5.0,10.0,252.0,-3.09017,-9.51057
1130,10P,4.0,10.0,252.0,-3.09017,-9.51057
1131,10P,5.0,12.0,252.0,-3.7082,-11.41268
1132,2.5RP,9.0,2.0,189.0,-1.97538,-0.31287
1133,2.5RP,8.0,2.0,189.0,-1.97538,-0.31287
1134,2.5RP,7.0,2.0,189.0,-1.97538,-0.31287
1135,2.5RP,6.0,2.0,189.0,-1.97538,-0.31287
1136,2.5RP,5.0,2.0,189.0,-1.97538,-0.31287
1137,2.5RP,4.0,2.0,189.0,-1.97538,-0.31287
1138,2.5RP,3.0,2.0,189.0,-1.97538,-0.31287
1139,2.5RP,2.5,2.0,189.0,-1.97538,-0.31287
1140,2.5RP,8.0,4.0,189.0,-3.95075,-0.62574
1141,2.5RP,7.0,4.0,189.0,-3.95075,-0.62574
1142,2.5RP,6.0,4.0,189.0,-3.95075,-0.62574
1143,2.5RP,5.0,4.0,189.0,-3.95075,-0.62574
1144,2.5RP,4.0,4.0,189.0,-3.95075,-0.62574
1145,2.5RP,3.0,4.0,189.0,-3.95075,-0.62574
1146,2.5RP,2.5,4.0,189.0,-3.95075,-0.62574
1147,2.5RP,8.0,6.0,189.0,-5.92613,-0.93861
1148,2.5RP,7.0,6.0,189.0,-5.92613,-0.93861
1149,2.5RP,6.0,6.0,189.0,-5.92613,-0.93861
1150,2.5RP,5.0,6.0,189.0,-5.92613,-0.93861
1151,2.5RP,4.0,6.0,189.0,-5.92613,-0.93861
1152,2.5RP,3.0,6.0,189.0,-5.92613,-0.93861
1153,2.5RP,7.0,8.0,189.0,-7.90151,-1.25148
1154,2.5RP,6.0,8.0,189.0,-7.90151,-1.25148
1155,2.5RP,5.0,8.0,189.0,-7.90151,-1.25148
1156,2.5RP,4.0,8.0,189.0,-7.90151,-1.25148
1157,2.5RP,7.0,10.0,189.0,-9.87688,-1.56434
1158,2.5RP,6.0,10.0,189.0,-9.87688,-1.56434
1159,2.5RP,5.0,10.0,189.0,-9.87688,-1.56434
1160,2.5RP,4.0,10.0,189.0,-9.87688,-1.56434
1161,2.5RP,6.0,12.0,189.0,-11.85226,-1.87721
1162,2.5RP,5.0,12.0,189.0,-11.85226,-1.87721
1163,5RP,9.0,1.0,198.0,-0.95106,-0.30902
1164,5RP,8.0,1.0,198.0,-0.95106,-0.30902
1165,5RP,7.0,1.0,198.0,-0.95106,-0.30902
1166,5RP,6.0,1.0,198.0,-0.95106,-0.30902
1167,5RP,5.0,1.0,198.0,-0.95106,-0.30902
1168,5RP,4.0,1.0,198.0,-0.95106,-0.30902
1169,5RP,3.0,1.0,198.0,-0.95106,-0.30902
1170,5RP,2.5,1.0,198.0,-0.95106,-0.30902
1171,5RP,9.0,2.0,198.0,-1.90211,-0.61803
1172,5RP,8.0,2.0,198.0,-1.90211,-0.61803
1173,5RP,7.0,2.0,198.0,-1.90211,-0.61803
1174,5RP,6.0,2.0,198.0,-1.90211,-0.61803
1175,5RP,5.0,2.0,198.0,-1.90211,-0.61803
1176,5RP,4.0,2.0,198.0,-1.90211,-0.61803
1177,5RP,3.0,2.0,198.0,-1.90211,-0.61803
1178,5RP,2.5,2.0,198.0,-1.90211,-0.61803
1179,5RP,8.0,4.0,198.0,-3.80423,-1.23607
1180,5RP,7.0,4.0,198.0,-3.80423,-1.23607
1181,5RP,6.0,4.0,198.0,-3.80423,-1.23607
1182,5RP,5.0,4.0,198.0,-3.80423,-1.23607
1183,5RP,4.0,4.0,198.0,-3.80423,-1.23607
1184,5RP,3.0,4.0,198.0,-3.80423,-1.23607
