Wavelength ( l / nm),ssc(l),smc(l),slc(l),srh(l),smel(l),,,,,
380,,,,5.89E-04,9.18165E-04,,,,,
381,,,,6.65E-04,1.04557E-03,,,,,
382,,,,7.52E-04,1.17858E-03,,,,,
383,,,,8.54E-04,1.32279E-03,,,,,
384,,,,9.72E-04,1.48381E-03,,,,,
385,,,,1.108E-03,1.66724E-03,,,,,
386,,,,1.268E-03,1.88102E-03,,,,,
387,,,,1.453E-03,2.12989E-03,,,,,
388,,,,1.668E-03,2.41457E-03,,,,,
389,,,,1.918E-03,2.73583E-03,,,,,
390,  6.14265E-03,  3.58227E-04,  4.07619E-04,2.209E-03,3.09442E-03,,,,,
391,  7.44280E-03,  4.38660E-04,  4.97068E-04,2.547E-03,3.50706E-03,,,,,
392,  9.01661E-03,  5.36230E-04,  6.04713E-04,2.939E-03,3.99078E-03,,,,,
393,  1.09170E-02,  6.54061E-04,  7.33640E-04,3.394E-03,4.54679E-03,,,,,
394,  1.32053E-02,  7.95649E-04,  8.87247E-04,3.921E-03,5.17625E-03,,,,,
395,  1.59515E-02,  9.64828E-04,  1.06921E-03,4.53E-03,5.88035E-03,,,,,
396,  1.92347E-02,  1.16572E-03,  1.28340E-03,5.24E-03,6.69334E-03,,,,,
397,  2.31436E-02,  1.40263E-03,  1.53382E-03,6.05E-03,7.65102E-03,,,,,
398,  2.77750E-02,  1.67992E-03,  1.82443E-03,6.98E-03,8.75694E-03,,,,,
399,  3.32339E-02,  2.00180E-03,  2.15896E-03,8.06E-03,1.00146E-02,,,,,
400,  3.96308E-02,  2.37208E-03,  2.54073E-03,9.29E-03,1.14277E-02,,,,,
401,  4.70801E-02,  2.79433E-03,  2.97282E-03,1.070E-02,1.30767E-02,,,,,
402,  5.57012E-02,  3.27374E-03,  3.45993E-03,1.231E-02,1.50397E-02,,,,,
403,  6.56137E-02,  3.81660E-03,  4.00793E-03,1.413E-02,1.73166E-02,,,,,
404,  7.69323E-02,  4.43021E-03,  4.62370E-03,1.619E-02,1.99071E-02,,,,,
405,  8.97612E-02,  5.12316E-03,  5.31546E-03,1.852E-02,2.28112E-02,,,,,
406,  1.04188E-01,  5.90458E-03,  6.09138E-03,2.113E-02,2.63194E-02,,,,,
407,  1.20273E-01,  6.78005E-03,  6.95291E-03,2.405E-02,3.05964E-02,,,,,
408,  1.38044E-01,  7.75260E-03,  7.89634E-03,2.730E-02,3.54538E-02,,,,,
