wl,Vlambda,Vprime,Vlambda/mac,Scone/mac,Melanopsin,Scone,ybar
437.000000000,0.019233396,0.288600000,0.048108687,0.925268315,0.485000000,0.971500000,0.019214480
438.000000000,0.020456851,0.301700000,0.051571041,0.941658598,0.502000000,0.981000000,0.020453920
439.000000000,0.021730074,0.314900000,0.055214701,0.958308529,0.520000000,0.990500000,0.021718240
440.000000000,0.023003297,0.328100000,0.058916543,0.975224327,0.538000000,1.000000000,0.023000000
441.000000000,0.024308603,0.341200000,0.062908709,0.977014098,0.551000000,0.991500000,0.024294610
442.000000000,0.025613910,0.354300000,0.066984978,0.978841575,0.564000000,0.983000000,0.025610240
443.000000000,0.026984612,0.367300000,0.071320878,0.980707961,0.577000000,0.974500000,0.026958570
444.000000000,0.028355313,0.380300000,0.075750089,0.982614513,0.591000000,0.966000000,0.028351250
445.000000000,0.029835316,0.393150000,0.080570825,0.985076674,0.605000000,0.958000000,0.029800000
446.000000000,0.031315318,0.406000000,0.085562007,0.988337098,0.619000000,0.950000000,0.031310830
447.000000000,0.032920693,0.418500000,0.091018595,0.991148744,0.633000000,0.941500000,0.032883680
448.000000000,0.034526068,0.431000000,0.096606597,0.994028105,0.647000000,0.933000000,0.034521120
449.000000000,0.036265757,0.443000000,0.102711224,0.996977658,0.662000000,0.924500000,0.036225710
450.000000000,0.038005446,0.455000000,0.108966501,1.000000000,0.676000000,0.916000000,0.038000000
451.000000000,0.039889716,0.467000000,0.115612073,0.998178396,0.689000000,0.904500000,0.039846670
452.000000000,0.041773986,0.479000000,0.122403700,0.996316756,0.701000000,0.893000000,0.041768000
453.000000000,0.043811613,0.490500000,0.129800600,0.994413748,0.714000000,0.881500000,0.043766000
454.000000000,0.045849240,0.502000000,0.137363720,0.992467976,0.727000000,0.870000000,0.045842670
455.000000000,0.048050061,0.513000000,0.145593209,0.991054848,0.741000000,0.859000000,0.048000000
456.000000000,0.050250881,0.524000000,0.152958115,0.982838234,0.754000000,0.848000000,0.050243680
457.000000000,0.052619661,0.535000000,0.160904293,0.973963953,0.767000000,0.836500000,0.052573040
458.000000000,0.054988440,0.546000000,0.168923824,0.965007752,0.782000000,0.825000000,0.054980560
459.000000000,0.057498520,0.556500000,0.177453812,0.955968491,0.796000000,0.813500000,0.057458720
460.000000000,0.060008599,0.567000000,0.186063276,0.946845010,0.810000000,0.802000000,0.060000000
461.000000000,0.062647737,0.577500000,0.192707631,0.926461458,0.822000000,0.791000000,0.062601970
462.000000000,0.065286875,0.588000000,0.199247556,0.906398277,0.834000000,0.780000000,0.065277520
463.000000000,0.068104064,0.599000000,0.206224645,0.886647973,0.845000000,0.769000000,0.068042080
464.000000000,0.070921253,0.610000000,0.213093771,0.867203282,0.857000000,0.758000000,0.070911090
465.000000000,0.073974146,0.620500000,0.220560194,0.848624808,0.869000000,0.747500000,0.073900000
466.000000000,0.077027038,0.631000000,0.227409370,0.828495193,0.880000000,0.737000000,0.077016000
467.000000000,0.080352915,0.642000000,0.234923562,0.808200123,0.891000000,0.726000000,0.080266400
468.000000000,0.083678792,0.653000000,0.242293145,0.788295629,0.901000000,0.715000000,0.083666800
469.000000000,0.087335916,0.664500000,0.250472242,0.768770545,0.911000000,0.704000000,0.087232800
470.000000000,0.090993040,0.676000000,0.258496906,0.749614124,0.921000000,0.693000000,0.090980000
471.000000000,0.095026537,0.687500000,0.266922266,0.717126930,0.931000000,0.670500000,0.094917550
472.000000000,0.099060035,0.699000000,0.275160399,0.685361665,0.941000000,0.648000000,0.099045840
473.000000000,0.103480049,0.710500000,0.284279308,0.654817547,0.949000000,0.626000000,0.103367400
474.000000000,0.107900062,0.722000000,0.293199983,0.624937425,0.957000000,0.604000000,0.107884600
475.000000000,0.112724453,0.733500000,0.303015828,0.595188108,0.965000000,0.581500000,0.112600000
476.000000000,0.117548845,0.745000000,0.315838710,0.571894803,0.972000000,0.559000000,0.117532000
477.000000000,0.122779994,0.757000000,0.329742183,0.549134255,0.979000000,0.537000000,0.122674400
478.000000000,0.128011144,0.769000000,0.343632854,0.526394665,0.984000000,0.515000000,0.127992800
479.000000000,0.133525534,0.781000000,0.358270720,0.503165177,0.989000000,0.492500000,0.133452800
480.000000000,0.139039925,0.793000000,0.372895120,0.479957060,0.994000000,0.470000000,0.139020000
481.000000000,0.144765395,0.805000000,0.388071502,0.460342301,0.997000000,0.451000000,0.144676400
482.000000000,0.150490865,0.817000000,0.403233903,0.440745612,0.999000000,0.432000000,0.150469300
483.000000000,0.156615943,0.828500000,0.419452580,0.420657080,1.000000000,0.412500000,0.156461900
484.000000000,0.162741021,0.840000000,0.435656329,0.400587038,1.000000000,0.393000000,0.162717700
485.000000000,0.169504690,0.851000000,0.453553890,0.380535460,1.000000000,0.373500000,0.169300000
486.000000000,0.176268360,0.862000000,0.469684855,0.359164005,0.999000000,0.354000000,0.176243100
487.000000000,0.183784637,0.873000000,0.487678904,0.338475253,0.997000000,0.335000000,0.183558100
488.000000000,0.191300914,0.884000000,0.505524108,0.317957636,0.995000000,0.316000000,0.191273500
489.000000000,0.199675363,0.894000000,0.525480738,0.297108013,0.992000000,0.296500000,0.199418000
490.000000000,0.208049813,0.904000000,0.545273644,0.276429441,0.989000000,0.277000000,0.208020000
491.000000000,0.217408404,0.913500000,0.563670137,0.262595745,0.985000000,0.266000000,0.217119900
492.000000000,0.226766995,0.923000000,0.581674940,0.249056590,0.981000000,0.255000000,0.226734500
493.000000000,0.237141832,0.932000000,0.601879721,0.235319466,0.975000000,0.243500000,0.236857100
494.000000000,0.247516669,0.941000000,0.621663279,0.221868730,0.969000000,0.232000000,0.247481200
495.000000000,0.258870146,0.949000000,0.643471248,0.209168750,0.962000000,0.221000000,0.258600000
496.000000000,0.270223623,0.957000000,0.654697084,0.193728599,0.954000000,0.210000000,0.270184900
497.000000000,0.282658205,0.963500000,0.667923518,0.178600635,0.946000000,0.198500000,0.282293900
498.000000000,0.295092787,0.970000000,0.680512872,0.164201344,0.937000000,0.187000000,0.295050500
499.000000000,0.309069540,0.976000000,0.695982853,0.150908031,0.928000000,0.176000000,0.308578000
500.000000000,0.323046292,0.982000000,0.710741930,0.138225596,0.917000000,0.165000000,0.323000000
501.000000000,0.338891463,0.986000000,0.721156166,0.128021564,0.906000000,0.158000000,0.338402100
502.000000000,0.354736634,0.990000000,0.730909151,0.118465436,0.895000000,0.151000000,0.354685800
503.000000000,0.372039963,0.993500000,0.742973911,0.109497402,0.883000000,0.144000000,0.371698600
504.000000000,0.389343293,0.997000000,0.754318357,0.101064794,0.871000000,0.137000000,0.389287500
505.000000000,0.407517097,0.998500000,0.766642711,0.093121053,0.858000000,0.130000000,0.407300000
506.000000000,0.425690902,1.000000000,0.774170517,0.085173545,0.844000000,0.123000000,0.425629900
507.000000000,0.444575858,1.000000000,0.782464880,0.077738171,0.830000000,0.116000000,0.444309600
508.000000000,0.463460814,1.000000000,0.790241441,0.070766974,0.816000000,0.109000000,0.463394400
509.000000000,0.483266452,0.998500000,0.799069544,0.064406680,0.801000000,0.102300000,0.482939500
510.000000000,0.503072090,0.997000000,0.807378909,0.058420116,0.786000000,0.095600000,0.503000000
511.000000000,0.523831065,0.993500000,0.816920428,0.053888053,0.769000000,0.090750000,0.523569300
512.000000000,0.544590040,0.990000000,0.825937128,0.049605269,0.753000000,0.085900000,0.544512000
513.000000000,0.565819732,0.985500000,0.835165942,0.045579850,0.736000000,0.081100000,0.565690000
514.000000000,0.587049424,0.981000000,0.843913604,0.041764300,0.719000000,0.076300000,0.586965300
515.000000000,0.608247112,0.974500000,0.852171944,0.038142624,0.701000000,0.071500000,0.608200000
516.000000000,0.629444800,0.968000000,0.856931596,0.034575756,0.684000000,0.066700000,0.629345600
517.000000000,0.650208075,0.960500000,0.860854301,0.031179873,0.667000000,0.061850000,0.650306800
518.000000000,0.670971350,0.953000000,0.864567018,0.027965777,0.650000000,0.057000000,0.670875200
519.000000000,0.690536554,0.944000000,0.866582659,0.024943143,0.632000000,0.052200000,0.690842400
520.000000000,0.710101757,0.935000000,0.868495883,0.022074093,0.614000000,0.047400000,0.710000000
521.000000000,0.727836098,0.925000000,0.878485274,0.020772878,0.597000000,0.045200000,0.728185200
522.000000000,0.745570440,0.915000000,0.888215469,0.019505427,0.580000000,0.043000000,0.745463600
523.000000000,0.761759360,0.903500000,0.895878908,0.018292831,0.563000000,0.040850000,0.761969400
524.000000000,0.777948280,0.892000000,0.903348532,0.017110903,0.545000000,0.038700000,0.777836800
525.000000000,0.793087249,0.879500000,0.909427629,0.015936663,0.528000000,0.036500000,0.793200000
526.000000000,0.808226219,0.867000000,0.914605544,0.014779249,0.511000000,0.034300000,0.808110400
527.000000000,0.822326439,0.853500000,0.918488886,0.013673131,0.494000000,0.032150000,0.822496200
528.000000000,0.836426660,0.840000000,0.922272756,0.012595346,0.477000000,0.030000000,0.836306800
529.000000000,0.849275101,0.825500000,0.924598128,0.011524093,0.460000000,0.027800000,0.849491600
530.000000000,0.862123542,0.811000000,0.926865424,0.010479595,0.444000000,0.025600000,0.862000000
531.000000000,0.873606388,0.796000000,0.934197040,0.009894328,0.428000000,0.024300000,0.873810800
532.000000000,0.885089233,0.781000000,0.941450800,0.009315277,0.412000000,0.023000000,0.884962400
533.000000000,0.895331101,0.765000000,0.947314905,0.008742342,0.397000000,0.021700000,0.895493600
534.000000000,0.905572969,0.749000000,0.953117392,0.008175427,0.381000000,0.020400000,0.905443200
535.000000000,0.914720079,0.733000000,0.957713014,0.007594506,0.366000000,0.019050000,0.914850100
536.000000000,0.923867190,0.717000000,0.962126618,0.007018645,0.352000000,0.017700000,0.923734800
537.000000000,0.931962250,0.700000000,0.965403551,0.006468622,0.338000000,0.016400000,0.932092400
538.000000000,0.940057310,0.683000000,0.968645869,0.005924409,0.324000000,0.015100000,0.939922600
539.000000000,0.947097019,0.666500000,0.970772385,0.005366399,0.310000000,0.013750000,0.947225200
540.000000000,0.954136728,0.650000000,0.972876672,0.004814223,0.297000000,0.012400000,0.954000000
541.000000000,0.960141288,0.633000000,0.977190800,0.004534062,0.284000000,0.011700000,0.960256100
542.000000000,0.966145848,0.616000000,0.981489018,0.004254934,0.271000000,0.011000000,0.966007400
