nm,sc,mc,lc,rh,mel
726,NaN,4.89142E-05,7.64585E-04,3.27E-06,4.60251E-07
727,NaN,4.56137E-05,7.11110E-04,3.07E-06,4.32648E-07
728,NaN,4.25490E-05,6.61570E-04,2.88E-06,4.06710E-07
729,NaN,3.96989E-05,6.15612E-04,2.71E-06,3.82420E-07
730,NaN,3.70443E-05,5.72917E-04,2.55E-06,3.59766E-07
731,NaN,3.45688E-05,5.33206E-04,2.39E-06,3.38528E-07
732,NaN,3.22588E-05,4.96234E-04,2.25E-06,3.18490E-07
733,NaN,3.01026E-05,4.61782E-04,2.12E-06,2.99644E-07
734,NaN,2.80893E-05,4.29654E-04,1.99E-06,2.81981E-07
735,NaN,2.62088E-05,3.99670E-04,1.87E-06,2.65493E-07
736,NaN,2.44529E-05,3.71690E-04,1.76E-06,2.50026E-07
737,NaN,2.28177E-05,3.45650E-04,1.66E-06,2.35424E-07
738,NaN,2.12995E-05,3.21494E-04,1.56E-06,2.21681E-07
739,NaN,1.98941E-05,2.99155E-04,1.47E-06,2.08789E-07
740,NaN,1.85965E-05,2.78553E-04,1.38E-06,1.96740E-07
741,NaN,1.74003E-05,2.59583E-04,1.30E-06,1.85426E-07
742,NaN,1.62931E-05,2.42061E-04,1.22E-06,1.74736E-07
743,NaN,1.52632E-05,2.25809E-04,1.15E-06,1.64666E-07
744,NaN,1.43005E-05,2.10674E-04,1.08E-06,1.55212E-07
745,NaN,1.33965E-05,1.96528E-04,1.02E-06,1.46370E-07
746,NaN,1.25449E-05,1.83271E-04,9.62E-07,1.38062E-07
747,NaN,1.17441E-05,1.70868E-04,9.07E-07,1.30208E-07
748,NaN,1.09929E-05,1.59290E-04,8.55E-07,1.22805E-07
749,NaN,1.02900E-05,1.48506E-04,8.06E-07,1.15848E-07
750,NaN,9.63397E-06,1.38482E-04,7.60E-07,1.09332E-07
751,NaN,9.02263E-06,1.29179E-04,7.16E-07,1.03202E-07
752,NaN,8.45301E-06,1.20542E-04,6.75E-07,9.74005E-08
753,NaN,7.92207E-06,1.12519E-04,6.37E-07,9.19274E-08
754,NaN,7.42700E-06,1.05061E-04,6.01E-07,8.67807E-08
755,NaN,6.96522E-06,9.81226E-05,5.67E-07,8.19587E-08
756,NaN,6.53422E-06,9.16641E-05,5.35E-07,7.74202E-08
757,NaN,6.13129E-06,8.56455E-05,5.05E-07,7.31243E-08
758,NaN,5.75391E-06,8.00302E-05,4.77E-07,6.90693E-08
759,NaN,5.39984E-06,7.47858E-05,4.50E-07,6.52534E-08
760,NaN,5.06711E-06,6.98827E-05,4.25E-07,6.16749E-08
761,NaN,4.75413E-06,6.52966E-05,4.01E-07,5.83044E-08
762,NaN,4.46019E-06,6.10128E-05,3.79E-07,5.51124E-08
763,NaN,4.18466E-06,5.70183E-05,3.58E-07,5.20972E-08
764,NaN,3.92690E-06,5.32996E-05,3.38E-07,4.92575E-08
765,NaN,3.68617E-06,4.98430E-05,3.20E-07,4.65916E-08
766,NaN,3.46157E-06,4.66322E-05,3.02E-07,4.40782E-08
767,NaN,3.25155E-06,4.36424E-05,2.86E-07,4.16962E-08
768,NaN,3.05464E-06,4.08501E-05,2.70E-07,3.94444E-08
769,NaN,2.86951E-06,3.82346E-05,2.55E-07,3.73218E-08
770,NaN,2.69504E-06,3.57781E-05,2.41E-07,3.53272E-08
771,NaN,2.53040E-06,3.34676E-05,2.28E-07,3.34451E-08
772,NaN,2.37550E-06,3.13007E-05,2.16E-07,3.16600E-08
773,NaN,2.23033E-06,2.92761E-05,2.04E-07,2.99712E-08
774,NaN,2.09478E-06,2.73908E-05,1.93E-07,2.83782E-08
775,NaN,1.96864E-06,2.56411E-05,1.83E-07,2.68803E-08
776,NaN,1.85152E-06,2.40205E-05,1.73E-07,2.54800E-08
777,NaN,1.74248E-06,2.25160E-05,1.64E-07,2.41660E-08
778,NaN,1.64060E-06,2.11145E-05,1.55E-07,2.29167E-08
779,NaN,1.54507E-06,1.98046E-05,1.47E-07,2.17105E-08
780,NaN,1.45518E-06,1.85766E-05,1.39E-07,2.05258E-08
781,nan,nan,nan,nan,nan
782,nan,nan,nan,nan,nan
783,nan,nan,nan,nan,nan
784,nan,nan,nan,nan,nan
785,nan,nan,nan,nan,nan
786,nan,nan,nan,nan,nan
787,nan,nan,nan,nan,nan
788,nan,nan,nan,nan,nan
789,nan,nan,nan,nan,nan
790,nan,nan,nan,nan,nan
791,nan,nan,nan,nan,nan
792,nan,nan,nan,nan,nan
793,nan,nan,nan,nan,nan
794,nan,nan,nan,nan,nan
795,nan,nan,nan,nan,nan
796,nan,nan,nan,nan,nan
797,nan,nan,nan,nan,nan
798,nan,nan,nan,nan,nan
799,nan,nan,nan,nan,nan
800,nan,nan,nan,nan,nan
801,nan,nan,nan,nan,nan
802,nan,nan,nan,nan,nan
803,nan,nan,nan,nan,nan
804,nan,nan,nan,nan,nan
805,nan,nan,nan,nan,nan
806,nan,nan,nan,nan,nan
807,nan,nan,nan,nan,nan
808,nan,nan,nan,nan,nan
809,nan,nan,nan,nan,nan
810,nan,nan,nan,nan,nan
811,nan,nan,nan,nan,nan
812,nan,nan,nan,nan,nan
813,nan,nan,nan,nan,nan
814,nan,nan,nan,nan,nan
815,nan,nan,nan,nan,nan
816,nan,nan,nan,nan,nan
817,nan,nan,nan,nan,nan
818,nan,nan,nan,nan,nan
819,nan,nan,nan,nan,nan
820,nan,nan,nan,nan,nan
821,nan,nan,nan,nan,nan
822,nan,nan,nan,nan,nan
823,nan,nan,nan,nan,nan
824,nan,nan,nan,nan,nan
825,nan,nan,nan,nan,nan
826,nan,nan,nan,nan,nan
827,nan,nan,nan,nan,nan
828,nan,nan,nan,nan,nan
829,nan,nan,nan,nan,nan
830,nan,nan,nan,nan,nan
