436,181.271,152.961,145.061,142.244,167.635,143.837,181.281,146.001,145.030,143.553,150.851,138.834
437,9.619,5.659,3.649,2.335,9.337,4.968,10.240,6.249,4.728,8.738,5.833,2.259
438,9.754,5.730,3.691,2.349,9.425,5.023,10.347,6.415,4.851,8.972,5.988,2.308
439,9.898,5.811,3.740,2.379,9.559,5.091,10.494,6.593,4.989,9.215,6.152,2.366
440,10.039,5.890,3.788,2.409,9.690,5.159,10.641,6.772,5.129,9.446,6.308,2.422
441,10.179,5.968,3.835,2.437,9.820,5.225,10.786,6.951,5.269,9.671,6.459,2.477
442,10.317,6.045,3.882,2.465,9.947,5.290,10.930,7.132,5.411,9.881,6.601,2.527
443,10.453,6.121,3.928,2.493,10.073,5.354,11.072,7.314,5.553,10.074,6.731,2.574
444,10.588,6.196,3.974,2.522,10.197,5.418,11.212,7.497,5.696,10.248,6.848,2.615
445,10.720,6.270,4.020,2.550,10.320,5.480,11.350,7.680,5.840,10.400,6.950,2.650
446,10.851,6.345,4.067,2.581,10.443,5.543,11.485,7.865,5.987,10.515,7.027,2.674
447,10.980,6.419,4.114,2.611,10.564,5.604,11.618,8.051,6.134,10.607,7.089,2.691
448,11.107,6.491,4.161,2.641,10.683,5.664,11.748,8.235,6.280,10.678,7.136,2.703
449,11.230,6.562,4.206,2.671,10.798,5.723,11.875,8.419,6.426,10.729,7.170,2.709
450,11.350,6.630,4.250,2.700,10.910,5.780,12.000,8.600,6.570,10.760,7.190,2.710
451,11.464,6.694,4.291,2.726,11.015,5.833,12.122,8.777,6.711,10.779,7.201,2.707
452,11.575,6.756,4.331,2.752,11.116,5.885,12.241,8.952,6.849,10.779,7.200,2.699
453,11.683,6.816,4.369,2.776,11.213,5.935,12.357,9.124,6.985,10.761,7.186,2.687
454,11.788,6.874,4.405,2.798,11.308,5.983,12.470,9.294,7.119,10.725,7.160,2.671
455,11.890,6.930,4.440,2.820,11.400,6.030,12.580,9.460,7.250,10.670,7.120,2.650
456,11.992,6.986,4.473,2.840,11.492,6.077,12.688,9.626,7.379,10.590,7.062,2.623
457,12.091,7.039,4.504,2.858,11.581,6.123,12.792,9.787,7.505,10.492,6.992,2.592
458,12.188,7.091,4.534,2.876,11.667,6.168,12.893,9.944,7.628,10.378,6.911,2.560
459,12.281,7.142,4.562,2.893,11.750,6.210,12.989,10.095,7.746,10.250,6.820,2.525
460,12.370,7.190,4.590,2.910,11.830,6.250,13.080,10.240,7.860,10.110,6.720,2.490
461,12.455,7.237,4.619,2.927,11.906,6.286,13.164,10.372,7.967,9.960,6.614,2.460
462,12.536,7.281,4.646,2.944,11.978,6.321,13.242,10.498,8.069,9.800,6.501,2.430
463,12.612,7.323,4.672,2.960,12.046,6.353,13.316,10.617,8.166,9.631,6.382,2.398
464,12.683,7.363,4.697,2.976,12.110,6.382,13.385,10.731,8.260,9.454,6.258,2.365
465,12.750,7.400,4.720,2.990,12.170,6.410,13.450,10.840,8.350,9.270,6.130,2.330
466,12.809,7.433,4.739,3.002,12.224,6.436,13.510,10.947,8.437,9.081,6.000,2.286
467,12.864,7.464,4.756,3.012,12.274,6.460,13.566,11.049,8.521,8.888,5.867,2.240
468,12.914,7.492,4.772,3.022,12.320,6.482,13.618,11.147,8.601,8.691,5.732,2.193
469,12.959,7.517,4.787,3.031,12.362,6.502,13.666,11.241,8.677,8.491,5.597,2.146
470,13.000,7.540,4.800,3.040,12.400,6.520,13.710,11.330,8.750,8.290,5.460,2.100
471,13.037,7.560,4.815,3.049,12.436,6.536,13.752,11.415,8.818,8.039,5.277,2.019
472,13.070,7.579,4.828,3.058,12.467,6.550,13.789,11.495,8.883,7.801,5.106,1.949
473,13.100,7.595,4.840,3.066,12.495,6.562,13.823,11.571,8.945,7.587,4.959,1.901
474,13.127,7.608,4.851,3.074,12.520,6.572,13.854,11.643,9.004,7.413,4.850,1.885
475,13.150,7.620,4.860,3.080,12.540,6.580,13.880,11.710,9.060,7.290,4.790,1.910
476,13.174,7.630,4.865,3.084,12.556,6.586,13.902,11.772,9.115,7.077,4.642,1.853
477,13.194,7.639,4.869,3.086,12.568,6.589,13.919,11.830,9.168,6.980,4.605,1.891
478,13.211,7.645,4.871,3.088,12.576,6.591,13.933,11.883,9.218,7.052,4.729,2.068
479,13.223,7.648,4.871,3.089,12.580,6.592,13.944,11.933,9.266,7.345,5.064,2.426
480,13.230,7.650,4.870,3.090,12.580,6.590,13.950,11.980,9.310,7.910,5.660,3.010
481,13.224,7.646,4.866,3.089,12.572,6.585,13.953,12.024,9.349,9.543,7.268,4.468
482,13.214,7.640,4.861,3.088,12.562,6.579,13.953,12.066,9.385,11.367,9.061,6.087
483,13.201,7.633,4.856,3.087,12.549,6.572,13.949,12.104,9.419,13.247,10.913,7.759
484,13.186,7.626,4.853,3.088,12.535,6.566,13.941,12.138,9.450,15.049,12.698,9.376
485,13.170,7.620,4.850,3.090,12.520,6.560,13.930,12.170,9.480,16.640,14.290,10.830
486,13.169,7.624,4.858,3.102,12.517,6.563,13.915,12.198,9.510,17.277,15.019,11.559
487,13.166,7.628,4.867,3.114,12.512,6.566,13.896,12.223,9.538,17.586,15.440,12.022
488,13.160,7.629,4.874,3.126,12.504,6.567,13.874,12.245,9.564,17.586,15.564,12.226
489,13.149,7.627,4.879,3.135,12.490,6.566,13.848,12.264,9.588,17.295,15.400,12.177
490,13.130,7.620,4.880,3.140,12.470,6.560,13.820,12.280,9.610,16.730,14.960,11.880
491,13.087,7.594,4.864,3.130,12.428,6.539,13.788,12.292,9.627,15.721,14.026,11.121
492,13.036,7.563,4.844,3.115,12.378,6.513,13.754,12.301,9.642,14.522,12.893,10.180
493,12.979,7.528,4.821,3.098,12.323,6.484,13.718,12.309,9.656,13.199,11.628,9.120
494,12.916,7.489,4.796,3.079,12.263,6.452,13.680,12.315,9.668,11.816,10.298,7.999
495,12.850,7.450,4.770,3.060,12.200,6.420,13.640,12.320,9.680,10.440,8.970,6.880
496,12.786,7.415,4.748,3.046,12.139,6.390,13.598,12.325,9.690,9.393,7.977,6.067
497,12.721,7.380,4.727,3.032,12.077,6.361,13.556,12.329,9.700,8.419,7.054,5.316
498,12.654,7.345,4.706,3.020,12.014,6.332,13.514,12.335,9.711,7.518,6.204,4.627
499,12.587,7.312,4.687,3.009,11.952,6.305,13.472,12.341,9.724,6.692,5.425,3.998
