lambda,Scotopic CIE,Photopic CIE,MSAS,PAS
350,0.0000000000000000,0.0000000000000000,0.3871517829365610,0.0000000000000000
355,0.0000000000000000,0.0000000000000000,0.4166389303377220,0.0000000000000000
360,0.0000000000000000,0.0000000000000000,0.4479126634335430,0.0000000000000000
365,0.0000000000000000,0.0000000000000000,0.4809718967798570,0.0000000000000000
370,0.0000000000000000,0.0000000000000000,0.5157857818261460,0.0000000000000000
375,0.0000000000000000,0.0000000000000000,0.5522861708926770,0.0000000000000000
380,0.0005890000000000,0.0002000000000000,0.5903588269643520,0.0000000000000000
385,0.0011080000000000,0.0003955600000000,0.6298332871762430,0.1242236024844720
390,0.0022090000000000,0.0008000000000000,0.6704713281410850,0.2484472049689440
395,0.0045300000000000,0.0015457000000000,0.7119540483880270,0.3726708074534160
400,0.0092900000000000,0.0028000000000000,0.7538676877059400,0.4968944099378880
405,0.0185200000000000,0.0046562000000000,0.7956884587545370,0.6118012422360250
410,0.0348400000000000,0.0074000000000000,0.8367668900982660,0.7267080745341610
415,0.0604000000000000,0.0117790000000000,0.8763124927464340,0.8136645962732920
420,0.0966000000000000,0.0175000000000000,0.9133799886312010,0.9006211180124220
425,0.1436000000000000,0.0226780000000000,0.9468589053636610,0.9627329192546580
430,0.1998000000000000,0.0273000000000000,0.9754690714880970,1.0000000000000000
435,0.2625000000000000,0.0325840000000000,0.9977654558130030,0.9937888198757760
440,0.3281000000000000,0.0379000000000000,1.0121568767371400,0.9875776397515530
445,0.3931000000000000,0.0423910000000000,1.0169443118093200,0.9751552795031050
450,0.4550000000000000,0.0468000000000000,1.0103857318203600,0.9627329192546580
455,0.5130000000000000,0.0521220000000000,0.9907952969629560,0.9316770186335400
460,0.5670000000000000,0.0600000000000000,0.9566848924824680,0.9316770186335400
465,0.6200000000000000,0.0729420000000000,0.9069545204100190,0.9254658385093170
470,0.6760000000000000,0.0909800000000000,0.8411337083717300,0.9192546583850930
475,0.7340000000000000,0.1128400000000000,0.7596669786697600,0.9037267080745340
480,0.7930000000000000,0.1390200000000000,0.6642201391103080,0.8881987577639750
485,0.8510000000000000,0.1698700000000000,0.5579582363087670,0.8509316770186330
490,0.9040000000000000,0.2080200000000000,0.4473777888272220,0.8136645962732920
495,0.9490000000000000,0.2580800000000000,0.4436454523518810,0.7577639751552790
500,0.9820000000000000,0.3230000000000000,0.5678065845564630,0.7018633540372670
505,0.9980000000000000,0.4054000000000000,0.6300874536874390,0.6304347826086960
510,0.9970000000000000,0.5030000000000000,0.5976780960571620,0.5590062111801240
515,0.9750000000000000,0.6081100000000000,0.5157165546492880,0.4937888198757760
520,0.9350000000000000,0.7100000000000000,0.4241861542988050,0.4285714285714290
525,0.8800000000000000,0.7951000000000000,0.3415196979308470,0.4006211180124220
530,0.8110000000000000,0.8620000000000000,0.2715952835480640,0.3726708074534160
535,0.7330000000000000,0.9150500000000000,0.2136204650030950,0.3726708074534160
540,0.6500000000000000,0.9540000000000000,0.1666873646447470,0.3726708074534160
545,0.5640000000000000,0.9800400000000000,0.1295403188617990,0.3819875776397510
550,0.4810000000000000,0.9949500000000000,0.1005404538832760,0.3913043478260870
555,0.4020000000000000,1.0001000000000000,0.0780724145602222,0.4099378881987580
560,0.3288000000000000,0.9950000000000000,0.0607295088464586,0.4285714285714290
565,0.2639000000000000,0.9787500000000000,0.0473583819019465,0.4503105590062110
570,0.2076000000000000,0.9520000000000000,0.0370441502582053,0.4720496894409940
575,0.1602000000000000,0.9155800000000000,0.0290748164643978,0.4953416149068320
580,0.1212000000000000,0.8700000000000000,0.0229023792435961,0.5186335403726710
585,0.0899000000000000,0.8162300000000000,0.0181076448823527,0.5388198757763970
590,0.0655000000000000,0.7570000000000000,0.0143709032203550,0.5590062111801240
595,0.0469000000000000,0.6948300000000000,0.0114485282244486,0.5776397515527950
600,0.0331500000000000,0.6310000000000000,0.0091547651123244,0.5962732919254660
605,0.0231200000000000,0.5665400000000000,0.0073477620842364,0.6180124223602480
610,0.0159300000000000,0.5030000000000000,0.0059189501630960,0.6397515527950310
615,0.0108800000000000,0.4417200000000000,0.0047850076092332,0.6583850931677020
620,0.0073700000000000,0.3810000000000000,0.0038817938113206,0.6770186335403730
625,0.0049700000000000,0.3205200000000000,0.0031597724564364,0.6987577639751550
630,0.0033350000000000,0.2650000000000000,0.0025805560628532,0.7204968944099380
635,0.0022350000000000,0.2170200000000000,0.0021142931781734,0.7391304347826090
640,0.0014970000000000,0.1750000000000000,0.0017376885564564,0.7577639751552790
645,0.0010050000000000,0.1381200000000000,0.0014324991426553,0.7763975155279500
650,0.0006770000000000,0.1070000000000000,0.0011843882557957,0.7950310559006210
655,0.0004590000000000,0.0816520000000000,0.0009820499900889,0.8105590062111800
660,0.0003129000000000,0.0610000000000000,0.0008165379674923,0.8260869565217390
665,0.0002146000000000,0.0443270000000000,0.0006807490575912,0.8229813664596270
670,0.0001480000000000,0.0320000000000000,0.0005690249636808,0.8198757763975150
675,0.0001026000000000,0.0234540000000000,0.0004768437347982,0.7888198757763970
680,0.0000715000000000,0.0170000000000000,0.0004005801058971,0.7577639751552790
685,0.0000501000000000,0.0118720000000000,0.0003373186892436,0.6956521739130430
690,0.0000353300000000,0.0082100000000000,0.0002847078815520,0.6335403726708070
695,0.0000250100000000,0.0057723000000000,0.0002408452405681,0.5496894409937890
700,0.0000178000000000,0.0041020000000000,0.0002041872638695,0.4658385093167700
705,0.0000127300000000,0.0029291000000000,0.0001734781509483,0.3881987577639750
710,0.0000091400000000,0.0020910000000000,0.0001476933802237,0.3105590062111800
715,0.0000066000000000,0.0014822000000000,0.0001259948843826,0.2329192546583850
720,0.0000047800000000,0.0010470000000000,0.0001076953340229,0.1552795031055900
725,0.0000034820000000,0.0007401500000000,0.0000922295959899,0.0776397515527950
730,0.0000025460000000,0.0005200000000000,0.0000791318602185,0.0000000000000000
735,0.0000018700000000,0.0003609300000000,0.0000680172582603,0.0000000000000000
740,0.0000013790000000,0.0002492000000000,0.0000585670512399,0.0000000000000000
745,0.0000010220000000,0.0001723100000000,0.0000505166623613,0.0000000000000000
750,0.0000007600000000,0.0001200000000000,0.0000436459825525,0.0000000000000000
755,0.0000005670000000,0.0000846200000000,0.0000377714975394,0.0000000000000000
760,0.0000004250000000,0.0000600000000000,0.0000327398782616,0.0000000000000000
765,0.0000003196000000,0.0000424460000000,0.0000284227499891,0.0000000000000000
770,0.0000002413000000,0.0000300000000000,0.0000247124132666,0.0000000000000000
775,0.0000001829000000,0.0000212100000000,0.0000215183353875,0.0000000000000000
780,0.0000001390000000,0.0000149890000000,0.0000187642671399,0.0000000000000000
785,0.0000000000000000,0.0000105840000000,0.0000163858681561,0.0000000000000000
790,0.0000000000000000,0.0000074656000000,0.0000143287469222,0.0000000000000000
795,0.0000000000000000,0.0000052592000000,0.0000125468396227,0.0000000000000000
800,0.0000000000000000,0.0000037028000000,0.0000110010664774,0.0000000000000000
805,0.0000000000000000,0.0000026076000000,0.0000096582158206,0.0000000000000000
810,0.0000000000000000,0.0000018365000000,0.0000084900154957,0.0000000000000000
815,0.0000000000000000,0.0000012950000000,0.0000074723586267,0.0000000000000000
820,0.0000000000000000,0.0000009109200000,0.0000065846568851,0.0000000000000000
825,0.0000000000000000,0.0000006356400000,0.0000058092992574,0.0000000000000000
830,0.0000000000000000,0.0000000000000000,0.0000051311982827,0.0000000000000000
835,0.0000000000000000,0.0000000000000000,0.0000045374089516,0.0000000000000000
840,0.0000000000000000,0.0000000000000000,0.0000040168080754,0.0000000000000000
845,0.0000000000000000,0.0000000000000000,0.0000035598240725,0.0000000000000000
850,0.0000000000000000,0.0000000000000000,0.0000031582088664,0.0000000000000000
855,0.0000000000000000,0.0000000000000000,0.0000028048450173,0.0000000000000000
860,0.0000000000000000,0.0000000000000000,0.0000024935823865,0.0000000000000000
865,0.0000000000000000,0.0000000000000000,0.0000022190995931,0.0000000000000000
870,0.0000000000000000,0.0000000000000000,0.0000019767863218,0.0000000000000000
875,0.0000000000000000,0.0000000000000000,0.0000017626431918,0.0000000000000000
880,0.0000000000000000,0.0000000000000000,0.0000015731964414,0.0000000000000000
885,0.0000000000000000,0.0000000000000000,0.0000014054251320,0.0000000000000000
890,0.0000000000000000,0.0000000000000000,0.0000012566989451,0.0000000000000000
895,0.0000000000000000,0.0000000000000000,0.0000011247249575,0.0000000000000000
900,0.0000000000000000,0.0000000000000000,0.0000010075020370,0.0000000000000000
,,,,
